kind,template_id,product_name,proposed_number,proposed_name_or_alts
recoverable,342570,Vivo Bana Batwing Top in Jersey  - FS,V0423006,
recoverable,342478,Vivo Basic 3/4 Sleeve A-Line Maxi Dress  - FS,V0719006,Vivo Basic 3/4 Sleeve A-Line Maxi Dress
recoverable,110108,Vivo Basic 3/4 Sleeve A-Line Maxi Dress - Burgundy,V0719006,Vivo Basic 3/4 Sleeve A-Line Maxi Dress
recoverable,110111,Vivo Basic 3/4 Sleeve A-Line Maxi Dress - Hunters Green,V0719006,Vivo Basic 3/4 Sleeve A-Line Maxi Dress
recoverable,110121,Vivo Basic 3/4 Sleeve A-Line Wrap Maxi Dress - Burgundy,V0719007,Vivo Basic 3/4 Sleeve A-Line Wrap Maxi Dress
recoverable,110175,Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Green,V0919035,Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress
recoverable,110177,Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Hunters,V0919035,Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress
recoverable,110182,Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Orange,V0919035,Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress
recoverable,342971,Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress  - FS,V0120002,Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress
recoverable,110240,Vivo Basic 3/4 Sleeve Leila Bodycon Dress - Burgundy,V0320037,Vivo Basic 3/4 Sleeve Leila Bodycon Dress
recoverable,110247,Vivo Basic 3/4 Sleeve Leila Bodycon Dress - Navy Blue,V0320037,Vivo Basic 3/4 Sleeve Leila Bodycon Dress
recoverable,110309,Vivo Basic 3/4 Sleeve Top - Green,V0220050,Vivo Basic 3/4 Sleeve Top
recoverable,110311,Vivo Basic 3/4 Sleeve Top - Navy Blue,V0220050,Vivo Basic 3/4 Sleeve Top
recoverable,110312,Vivo Basic 3/4 Sleeve Top - Orange,V0220050,Vivo Basic 3/4 Sleeve Top
recoverable,342370,Vivo Basic 3/4 Sleeved Double Layered Bodysuit  - FS,V1020048,Vivo Basic 3/4 Sleeved Double Layered Bodysuit
recoverable,110335,Vivo Basic 3/4 Sleeved Double Layered Bodysuit - Buttermilk,V1020048,Vivo Basic 3/4 Sleeved Double Layered Bodysuit
recoverable,342369,Vivo Basic 3/4 Sleeved Double Layered Bodysuit in Jersey  - FS,V1020048,Vivo Basic 3/4 Sleeved Double Layered Bodysuit in Jersey
recoverable,110506,Vivo Basic Ayo Bishop Sleeve Dress - Black / Brown Print,V0621190,Vivo Basic Ayo Bishop Sleeve Dress
recoverable,110520,Vivo Basic Ayo Bishop Sleeve Dress - Cream / Navy Print,V0621190,Vivo Basic Ayo Bishop Sleeve Dress
recoverable,110528,Vivo Basic Ayo Bishop Sleeve Dress - Navy / Brown Print,V0621190,Vivo Basic Ayo Bishop Sleeve Dress
recoverable,110529,Vivo Basic Ayo Bishop Sleeve Dress - Navy / Orange Iyo Print,V0621190,Vivo Basic Ayo Bishop Sleeve Dress
recoverable,110530,Vivo Basic Ayo Bishop Sleeve Dress - Navy / Peach Print,V0621190,Vivo Basic Ayo Bishop Sleeve Dress
recoverable,110531,Vivo Basic Ayo Bishop Sleeve Dress - Navy / Pink Print,V0621190,Vivo Basic Ayo Bishop Sleeve Dress
recoverable,110586,Vivo Basic Aziza Belt - Blue / Yellow Print,V1219185,Vivo Basic Aziza Belt
recoverable,110600,Vivo Basic Aziza Belt - Jua Print,V1219185,Vivo Basic Aziza Belt
recoverable,110604,Vivo Basic Aziza Belt - Mshale Print,V1219185,Vivo Basic Aziza Belt
recoverable,342541,Vivo Basic Bishop Sleeve Top In Chiffon (Double Layered)  - FS,V0524179,Vivo Basic Bishop Sleeve Top In Chiffon (Double Layered)
recoverable,342442,Vivo Basic Bodycon Dress in Rayon  - FS,V0819036,Vivo Basic Bodycon
recoverable,197112,Vivo Basic Boundneck Puff Sleeve Top - Blue,V0320040,Vivo Basic Boundneck Puff Sleeve Top
recoverable,342574,Vivo Basic Cap Sleeve Bodycon in Rayon  - FS,V0422070,Vivo Basic Cap Sleeve Bodycon
recoverable,342412,Vivo Basic Cap Sleeve Chiffon Maxi Dress  - FS,V0825017,Vivo Basic Cap Sleeve Chiffon Maxi Dress
recoverable,342663,Vivo Basic Cap Sleeve Knee Length Dress  - FS,V0121168,
recoverable,197152,Vivo Basic Cap Sleeve Knee Length Dress - Beige / Brown Abstract Print,V0121168,
recoverable,197155,Vivo Basic Cap Sleeve Knee Length Dress - Black / White Floral Print,V0121168,
recoverable,197157,Vivo Basic Cap Sleeve Knee Length Dress - Dark Navy / Mustard Print,V0121168,
recoverable,197158,Vivo Basic Cap Sleeve Knee Length Dress - Mint Green / Black Floral Print,V0121168,
recoverable,197161,Vivo Basic Cap Sleeve Knee Length Dress - White / Black Floral Print,V0121168,
recoverable,197181,Vivo Basic Cap Sleeve Knee Length Tent Dress - Black / White Biana Print,V0121168,
recoverable,197186,Vivo Basic Cap Sleeve Knee Length Tent Dress - Blue / Black Capi Print,V0121168,
recoverable,197211,Vivo Basic Cap Sleeve Knee Length Tent Dress - Hunters / Grey Print,V0121168,
