Style Name,Style Number,Status,Tier
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
Popular 21 Ponte Scoop Neck Midi Bodycon Dress,,Active,
Popular 21 Ribbed Long-Sleeve Mini Dress,,Retired,Retired
Popular 21 Sleeveless Square-Neck Dress,,Active,
Popular 21 Thick Strap Rib Dress,,Active,
,,,
,,,
,,,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
Racer Front & Back Mini Dress,,Retired,Retired
Racer Front & Back Mini Dress,,Retired,Retired
Racer Front & Back Mini Dress,,Retired,Retired
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
