Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
V0623033,Vivo Basic Spaghetti Strap Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,550.0,0,10.0,2.0,4,16
V0625041,Vivo Iyana Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,4900.0,0,7.0,2.0,7,16
V0424156,Vivo Solei Shorts(without lining),Vivo,Bottoms,Shorts & Skorts,Retired,3550.0,3450.0,1.0,1.0,8.0,6,16
S0924017,Safari Mansi Straight Leg Pants,Safari,Bottoms,Full Length Pants,Retired,4950.0,4950.0,2.0,5.0,0,9,16
S0424062,Safari Spaghetti Tank Top,Safari,Tops,T-shirts & Tank Tops,Retired,1750.0,1750.0,2.0,9.0,2.0,1,16
S1124144,Safari Sizani 2 Way Wrap Top,Safari,Tops,Midriff & Crop Tops,Retired,6250.0,1850.0,1.0,1.0,6.0,8,16
S0224199,Safari Kamari Mini Skirt,Safari,Skirts,Short & Mini Skirts,Retired,3000.0,250.0,2.0,7.0,3.0,4,16
V1124086,Vivo Lalani Turtle Neck Sweater Dress,Vivo,Dresses,Knee Length Dresses,Retired,5550.0,2250.0,4.0,0,5.0,7,16
V0224109,Vivo X This Is Essential Short Unitard,Vivo,Bottoms,Jumpsuits & Playsuits,Retired,3250.0,3250.0,8.0,4.0,0,4,16
Z0125026,Zoya Sadira Mini Cargo Skirt,Zoya,Skirts,Short & Mini Skirts,Retired,1950.0,1950.0,0,2.0,0,14,16
Z0824044,Zoya Temo Mens Zipped Overshirt,Zoya,Tops,Men's Tops,Retired,1750.0,1300.0,0,1.0,0,15,16
S0824030,Safari Njano Men's Knee Length Shorts,Safari,Bottoms,Men's Bottoms,Retired,5550.0,1150.0,0,9.0,2.0,5,16
V0325047,Vivo Kelemi 4.0 Frilled Wide Top,Vivo,Tops,Loose Tops,Retired,5950.0,2350.0,0,9.0,1.0,5,15
VE0032P,Vivo Kitenge Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,4550.0,2250.0,3.0,3.0,4.0,5,15
Z0324071,Zoya Yuni Contrast Stitch Mini Skirt,Zoya,Skirts,Short & Mini Skirts,Retired,2550.0,350.0,0,5.0,0,10,15
V0325019,Vivo Chela Basic Cap Sleeve Top,Vivo,Tops,Midriff & Crop Tops,Retired,2250.0,1850.0,1.0,2.0,6.0,6,15
S0824067,Safari Savannah Kitenge Midi Wrap Dress,Safari,Dresses,Midi & Capri Dresses,Retired,8950.0,8950.0,1.0,6.0,0,7,14
S0223180,Safari Mali Bishop Sleeve Shirt Dress,Safari,Dresses,Knee Length Dresses,Retired,4950.0,4950.0,0,8.0,1,5,14
S0624027,Safari Savannah Men's Straight Leg Pants,Safari,Bottoms,Men's Bottoms,Retired,6750.0,4800.0,4.0,5.0,2,3,14
V0622041,Vivo Mistari 3/4 Sleeve V,Vivo,Tops,Loose Tops,Retired,3550.0,3550.0,0,9.0,0,5,14
Z0724069,Zoya Banda Unisex Jorts,Zoya,Bottoms,Shorts & Skorts,Retired,2950.0,550.0,0,5.0,0,9,14
V0223139,Vivo Izzy Satin Bishop Sleeve Top,Vivo,Tops,Fitted Tops,Retired,3750.0,3500.0,9.0,0,0,5,14
Z0220060,Zoya Capri Leggings,Zoya,Bottoms,Leggings,Retired,1950.0,1200.0,1.0,0,13.0,0,14
V1123158,Vivo Mira Reversible Wrap Top,Vivo,Tops,Fitted Tops,Retired,2750.0,950.0,1.0,3.0,3.0,6,14
V0923060,Vivo X This Is Essential Short Sleeve Bodysuit,Vivo,Tops,Bodysuits,Retired,2750.0,2750.0,2.0,4.0,0,7,13
V1123047,Vivo Hanabi Wrap Maxi Dress,Vivo,Dresses,Maxi Dresses,Retired,6950.0,5750.0,6.0,0,0,7,13
Z0124037,Zoya Luna Halter Neck Top,Zoya,Tops,Midriff & Crop Tops,Retired,1750.0,1750.0,0,5.0,0,8,13
S0824028,Safari Njano Men's Easy Fit Pants,Safari,Bottoms,Men's Bottoms,Retired,6750.0,2050.0,4.0,4.0,2.0,3,13
S0624022,Safari Savannah Men's Drawstring Shorts (Regular),Safari,Bottoms,Men's Bottoms,Retired,5550.0,3900.0,4.0,0,6.0,3,13
V1223014,Vivo Dua Satin Bishop Sleeve Top,Vivo,Tops,Loose Tops,Retired,3550.0,1250.0,7.0,0,3.0,3,13
S0424041,Safari Men's Kitenge Drawstring Shorts,Safari,Bottoms,Men's Bottoms,Retired,3550.0,1050.0,1.0,1.0,4.0,7,13
S0924026,Safari Mansi Mens Shorts,Safari,Bottoms,Men's Bottoms,Retired,3300.0,3300.0,0,2.0,3.0,8,13
V1223037,Vivo X This Is Essentials Long Sleeve Crew Neck Bodysuit,Vivo,Tops,Bodysuits,Retired,3800.0,3800.0,0,10.0,0,3,13
Z1123024,Zoya Party Sleeveless Bodysuit,Zoya,Tops,Bodysuits,Retired,1950.0,1950.0,0,1.0,0,12,13
S0325033,Safari Tiwa Straight Leg Pants,Safari,Bottoms,Full Length Pants,Retired,4800.0,4800.0,3.0,0,7.0,3,13
VE0001Y,Vivo Essentials Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,750.0,0,6.0,3.0,4,13
Z1223003,Zoya Sitawi Bodycon,Zoya,Dresses,Short & Mini Dresses,Retired,2550.0,2550.0,0,3.0,1.0,8,12
V0125005,Vivo Yene One Shoulder Kaftan,Vivo,Dresses,Maxi Dresses,Retired,5550.0,2250.0,2.0,3.0,0,7,12
V0425007,Vivo Rema High Low Maxi Dress,Vivo,Dresses,Midi & Capri Dresses,Retired,3900.0,3550.0,0,3.0,0,9,12
V0719105,Vivo Basic A-line Maxi Skirt,Vivo,Skirts,Maxi Skirts,Retired,4500.0,4500.0,5.0,0,7.0,0,12
V0923047,Vivo Ava Tent Flounce Maxi Dress,Vivo,Dresses,Maxi Dresses,Retired,6900.0,6900.0,0,0,0,12,12
VE0001M,Vivo Essentials Tank Top,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,1550.0,0,3.0,4.0,5,12
VE0055L,Vivo Nimali Satin Joggers,Vivo,Bottoms,Full Length Pants,Retired,0,1450.0,5.0,0,1.0,6,12
VE0055R,Vivo Nimali Satin Joggers,Vivo,Bottoms,Full Length Pants,Retired,2950.0,1450.0,2.0,1.0,0,9,12
Z1024087,Zoya X Metamorphisized 143 Pleated Flannel Mini Skirt,Zoya,Skirts,Short & Mini Skirts,Retired,1950.0,1950.0,0,0,5.0,7,12
Z0724071,Zoya Banda Men's Cargo Pants,Zoya,Bottoms,Men's Bottoms,Retired,3950.0,1150.0,0,0,0,11,11
Z0424106,Zoya Men's Round Neck T-shirt,Zoya,Tops,Men's Tops,Retired,1550.0,1550.0,0,0,6.0,5,11
S0424062,Safari Spaghetti Tank Top,Safari,Tops,T-shirts & Tank Tops,Retired,1750.0,650.0,1.0,6.0,2.0,2,11
V0625032,Vivo Aleri A-Line Pleated Dress,Vivo,Dresses,Knee Length Dresses,Retired,5500.0,5500.0,6.0,1.0,1,3,11
V0325021,Vivo Basic Jeggings,Vivo,Bottoms,Full Length Pants,Retired,3550.0,3550.0,0,7.0,0,4,11
S0824029,Safari Njano Men's Straight Leg Pants,Safari,Bottoms,Men's Bottoms,Retired,6250.0,6250.0,1.0,4.0,1.0,5,11
