brand,missing,product_name
"Vivo","both","Vivo Muna Cap Sleeve Knee Length Dress  - FS"
"Vivo","both","Vivo Muna Side Slit Asymmetric Top - Mulberry"
"Vivo","both","Vivo Nandi High Slit Kimono  - FS"
"Vivo","both","Vivo Nandi High Slit Kimono  - FS"
"Vivo","both","Vivo Nasinka A-Line Knee Length Dress  - FS"
"Vivo","both","Vivo Nasinka A-Line Knee Length Dress  - FS"
"Vivo","both","Vivo Nasinka A-Line Knee Length Dress in Crepe  - FS"
"Vivo","both","Vivo Nasinka A-Line Maxi Dress  - FS"
"Vivo","both","Vivo Nasinka A-Line Maxi Dress  - FS"
"Vivo","both","Vivo Naya Bishop Sleeve Shift Dress  - FS"
"Vivo","both","Vivo Naya One Shoulder Flounce Jumpsuit  - FS"
"Vivo","both","Vivo Niari Pleated Dress in Crepe  - FS"
"Vivo","both","Vivo Niari Sleeveless Tent Dress in Crepe  - FS"
"Vivo","both","Vivo Niari Sleeveless Top  - FS"
"Vivo","both","Vivo Niari Sleeveless Top In Chiffon  - FS"
"Vivo","both","Vivo Niari Tent Dress  - FS"
"Vivo","both","Vivo Nora Round Neck Sleeveless Top  - FS"
"Vivo","both","Vivo Nuru Side Panel Wide Leg Pants  - FS"
"Vivo","both","Vivo Nuru Sleeveless Maxi Kimono  - FS"
"Vivo","both","Vivo Nuru Strappy Maxi Dress  - FS"
"Vivo","both","Vivo Off Shoulder Jumpsuit in Crepe  - FS"
"Vivo","both","Vivo Pelia Round Neck Dress  - FS"
"Vivo","both","Vivo Pendo Cap Sleeve Tent Knee Length Dress  - FS"
"Vivo","both","Vivo Pesi Drop Shoulder Tent Dress  - FS"
"Vivo","both","Vivo Playsuit - Sample 2"
"Vivo","both","Vivo Rema 3/4 Sleeve Side Slit Tunic Top in Rib  - FS"
"Vivo","both","Vivo Rema Straight Leg Pants  - FS"
"Vivo","both","Vivo Ria Drop Shoulder Top  - FS"
"Vivo","both","Vivo Ruched Maxi Top in Textured Satin  - FS"
"Vivo","both","Vivo Safa Drop Shoulder Top  - FS"
"Vivo","both","Vivo Safa Drop Shoulder Top  - FS"
"Vivo","both","Vivo Safa Straight Leg Pants in Stretch Rib  - FS"
"Vivo","both","Vivo Safa Sweater  - FS"
"Vivo","both","Vivo Sakari Cap Sleeve Maxi Dress  - FS"
"Vivo","both","Vivo Sakari Cap Sleeve Maxi Dress in Crepe  - FS"
"Vivo","both","Vivo Sakari Circular Loose Top  - FS"
"Vivo","both","Vivo Sakari Circular Loose Top in Textured Print  - FS"
"Vivo","both","Vivo Sakari Drop Shoulder Jumpsuit  - FS"
"Vivo","both","Vivo Sakari Drop Shoulder Jumpsuit in Crepe  - FS"
"Vivo","both","Vivo Samira Cape Dress  - FS"
"Vivo","both","Vivo Samira Midi Dress in Textured Satin  - FS"
"Vivo","both","Vivo Samira Pants  - FS"
"Vivo","both","Vivo Samira Pants in Rayon  - FS"
"Vivo","both","Vivo Samira Pants in Rayon - FS"
"Vivo","both","Vivo Samira Wide Kimono  - FS"
"Vivo","both","Vivo Samira Wide Kimono in Rayon  - FS"
"Vivo","both","Vivo Sanyu Pleated Pants  - FS"
"Vivo","both","Vivo Satin Drawstring Pants  - FS"
"Vivo","both","Vivo Sawari Crossed Cuff Batwing Top  - FS"
"Vivo","both","Vivo Sawari Crossed Cuff Batwing Top in Satin  - FS"
"Vivo","both","Vivo Scalloped Kimono in Crepe  - FS"
"Vivo","both","Vivo Selah Mock Neck Top in Stretch Rib  - FS"
"Vivo","both","Vivo Selah Mock Neck Top in Stretch Rib - Off - FS"
"Vivo","both","Vivo Selah Palazzo Pants in Stretch Rib  - FS"
"Vivo","both","Vivo Selah Sleeveless Maxi Dress in Stretch Rib  - FS"
"Vivo","both","Vivo Selah Straight Leg Pants  - FS"
"Vivo","both","Vivo Seli Maxi Dress  - FS"
"Vivo","both","Vivo Seli Midi Skirt  - FS"
"Vivo","both","Vivo Serwa Flounce Dress  - FS"
"Vivo","both","Vivo Serwa Flounce Dress  - FS"
"Vivo","both","Vivo Serwa Tent Dress  - FS"
"Vivo","both","Vivo Serwa Tent Dress  - FS"
"Vivo","both","Vivo Serwa Tent Dress In Crepe  - FS"
"Vivo","both","Vivo Short Jacket/ Coat - Sample 2"
"Vivo","both","Vivo Short Waterfall/ Kimono - Sample 1"
"Vivo","both","Vivo Sierra Cap Sleeve Tent Chiffon Dress  - FS"
"Vivo","both","Vivo Sierra Cap Sleeve Tent Chiffon Dress  - FS"
"Vivo","both","Vivo Sierra Long Sleeve Top in Chiffon (Double Layered)  - FS"
"Vivo","both","Vivo Sierra Long Sleeve Top in Chiffon (Double Layered)  - FS"
"Vivo","both","Vivo Sierra Maxi Chiffon Dress  - FS"
"Vivo","both","Vivo Sierra Maxi Dress in Chiffon   - FS"
"Vivo","both","Vivo Situ Off-Shoulder Tie Maxi Dress  - FS"
"Vivo","both","Vivo Sleeveless Bodycon in Stretch Rib  - FS"
"Vivo","both","Vivo Sleeveless Godet Midi Dress in Jersey  - FS"
"Vivo","both","Vivo Spaghetti Tank Top in Jersey  - FS"
"Vivo","both","Vivo Straight Pants in Scuba  - FS"
"Vivo","both","Vivo Studio Bodysuit In Jersey  - FS"
"Vivo","both","Vivo Studio Double Layered Tie Bodycon in Jersey  - FS"
"Vivo","both","Vivo Studio Drawstring Pants in Velvet  - FS"
"Vivo","both","Vivo Studio Flared Pants In Ponte  - FS"
"Vivo","both","Vivo Studio Lounge Pants in Rib  - FS"
"Vivo","both","Vivo Studio Maxi Bodycon in Jersey  - FS"
"Vivo","both","Vivo Studio Mini Bubble Skirt in Satin  - FS"
"Vivo","both","Vivo Studio Shoulder Tie Top in Jersey  - FS"
"Vivo","both","Vivo Studio Strapless Maxi in Crepe  - FS"
"Vivo","both","Vivo Studio Strapless Maxi in Crepe - FS"
"Vivo","both","Vivo Sweatshirt in Scuba  - FS"
"Vivo","both","Vivo Takali Asymmetrical Midi Length Kaftan  - FS"
"Vivo","both","Vivo Takali Asymmetrical Midi Length Kaftan In Satin  - FS"
"Vivo","both","Vivo Takali Tunic Top  - FS"
"Vivo","both","Vivo Takali Tunic Top In Satin  - FS"
"Vivo","both","Vivo Talia Front Slit Maxi Top  - FS"
"Vivo","both","Vivo Talia Front Slit Maxi Top  - FS"
"Vivo","both","Vivo Talia Maxi Slip Skirt in Satin  - FS"
"Vivo","both","Vivo Talia Sleeveless Tank Top   - FS"
"Vivo","both","Vivo Talia Sleeveless Tank Top  - FS"
"Vivo","both","Vivo Talia Slim Pants  - FS"
"Vivo","both","Vivo Talia Wide Leg Pants  - FS"
"Vivo","both","Vivo Tana Off Shoulder Maxi Dress  - FS"
"Vivo","both","Vivo Tanda Cap Sleeve Sheath Dress in Ponte  - FS"
"Vivo","both","Vivo Tanda Loose Sweater  - FS"
"Vivo","both","Vivo Tanda Maxi Dress in Ponte  - FS"
"Vivo","both","Vivo Tanda Maxi Dress in Ponte - White OLD"
"Vivo","both","Vivo Tatili Bishop Long Sleeve Top  - FS"
