product_name,units_sold
Vivo Turtleneck Knit Fringe Poncho - Mustard,135
Vivo Kani Cap Sleeve Maxi Dress - Lime / Orange Sari Print,134
Vivo Sakari Cap Sleeve Maxi Dress - Black,134
Vivo Alani Boat Neck Top - White,134
Vivo MSD 2,134
Vivo Ava Front Pleat Maxi Dress - Green / Rust Print,134
Vivo Basic Sienna Waterfall - Dark Olive,134
Vivo Tanda Cap Sleeve Sheath Dress in Ponte - Black,134
Vivo Basic Kena Tent Knee Length Dress - Orange,134
Vivo Zola V Neck Maxi Dress in Crepe - White / Red Kai Print,133
Vivo Basic Sleeveless Tent Maxi Dress - Navy,132
Vivo Kemi Dolman Top - Lime Green / Maroon Emi Print,132
Vivo Niari Pleated Dress in Crepe - Rust,132
Safari Lounge Pants - Black,132
Vivo Basic Extra Long Lily Waterfall - Dark Taupe,132
Vivo Ava 3/4 Sleeve Tent Shirt Dress in Crepe - Light Olive,131
Vivo Basic Cap Sleeve Chiffon Maxi Dress - Light Blue / Purple Sinka Print,131
Vivo Ayla Maxi Kaftan Dress - Red / Black Fani Print,131
Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Dark Green,131
Vivo Sakari Cap Sleeve Maxi Dress - Mustard / Rust Amari Print,131
Vivo Basic Ali Jacket - Burgundy,130
Vivo Safa Drop Shoulder Top - Dark Red,130
Vivo Iyana Knee Length Bubble Dress - Dark Magenta,130
Vivo Takali Asymmetrical Midi Length Kaftan - Dark Tan,130
Vivo Chidii Wide Leg Pants - White / Mint Tulu Print,130
Vivo Kaisa Short Sleeve Maxi Bodycon In Polyester Stretch - Chocolate,130
Vivo Kani Wide Leg Pants - Light Mustard / Navy Tamra Print,130
Vivo Samira Pants in Rayon,129
Safari Long Sleeve Waterfall - Dark Tan,129
Vivo Laika 3/4 Sleeve Tent Dress In Crepe - White / Dark Green Laki Print,129
Safari by Vivo Zehra Tie Waist Kimono Dress - Black Textured Print,129
Safari Tiwa Shirred Midi Dress - Hunters,129
Vivo Nasinka Wrap Dress - Black / Rust Naka Print,129
Zoya Basic Jersey Bandeau - Black,129
Vivo Studio Crew Neck Tee in Rib - Black,129
Zoya Jersey Bandeau - Black,128
Vivo Everyday Side Twist Bodycon in Jersey - Dark Purple,128
Vivo Tatili Bishop Long Sleeve Top In Satin - Olive  Multicolor,128
Vivo Asha Sleeveless Knee Length Dress - Olive Green / Black Tori Print,128
Vivo J.O V-Neck Sheath Dress - Navy Blue,128
Vivo Tatili Bishop Long Sleeve Top - Multi Mustard Print,128
Vivo Ria Panelled Pants - Black,128
Vivo Belts FS 1,128
Vivo Sakari Circular Loose Top - Black / White Print,128
Safari by Vivo Jacket in Denim - Navy,128
Vivo Sanali Batwing Tie Top - Mint / Green Print,128
Vivo Sakari Cap Sleeve Maxi Dress - Orange / Maroon Amari Print,128
Vivo Sanali Loose Top - Purple / Peach,127
Vivo Seli Wide Top - Lime / Green Raha Print,127
Vivo Sakari Circular Loose Top - White / Black Print,127
Vivo Tatili Bishop Long Sleeve Top In Satin - Green  Multicolor,127
Vivo Ria Drop Shoulder Top - Black,127
Vivo Lulu Bubble Sleeve Top - Fuschia,126
Vivo Lulu Wide Hem Tent Dress - Red,126
Vivo Sakari Circular Loose Top - Taupe / White Print,126
Vivo Yumi Maxi Shirt Dress - Dark Navy,126
Vivo Basic Chiffon Bishop Sleeve Top (Double Layered) - White,126
Vivo Diella Pleated Dress - Hunters Green,126
Vivo Pana Short Waterfall - Mustard,125
Vivo Ari Sweater - Navy,125
Vivo Basic 3/4 Sleeved Double Layered Bodysuit - Olive,125
Vivo Basic 3/4 Sleeve Leila Bodycon Dress,125
Vivo Everyday Cap Sleeve Top - Light Olive Green,125
Vivo Sanali Batwing Tie Top - Peach / Tan Print,125
Vivo Maxi Dress in Stretch Rib - Black,125
Vivo Keza Circular Loose Top - Dark Green,125
Vivo Basic 3/4 Sleeve Leila Bodycon Dress - Black,125
Vivo Liora Scalloped Maxi Top in Chiffon - White,125
Vivo Sawari Crossed Cuff Batwing Top - Black / White Polka,124
Vivo Kani Bishop Sleeve Top in Crepe - Black,124
Vivo Merika Satin Wrap Top - Grey / Black Animal Print,124
Vivo Basic Double Layered Long Sleeved Bodysuit - Chocolate Brown,124
Vivo Basic Chiffon Bishop Sleeve Top (Double Layered) - Black,124
Vivo Bana Batwing Top - Sea Green,124
Vivo Laika Bishop Sleeve Shift Dress - Black,124
Vivo Sierra Cap Sleeve Tent Chiffon Dress - Red,124
Vivo Iyana Shirred waist Maxi Dress - Dark Green,124
Vivo Basic Cap Sleeve Chiffon Maxi Dress - Lilac / Purple Sinka Print,123
Vivo Serwa Tent Dress - Beige,123
Vivo Seli Wide Leg Pants - Navy Blue,123
Vivo Lindi High Low Dress In Ponte - Red,123
Vivo Lulu Bubble Sleeve Top - Orange,123
Vivo Basic Sleeveless Tent Maxi Dress - Mustard / Dark Green Ewale Print,123
